District,EAST,NORTH,Plot_names,Total_C_ha,Year,Zone,Mean_Temp_yr,Mean_D_R,Isothermality,Temp_Seasnoality,Max_Temp_Warmest_Month,Min_Temp_Coldest_Month,Temp_Range_yr,Mean_Temp_Wattest_Q,Mean_Temp_Driest_Q,Mean_Tem_Warmest_Q,Mean_Temp_Coldest_Q,Prec_yr,Prec_Wattest_Month,Prec_Driest_Month,Prec_Seasonality,Prec_Wattest_Q,Prec_Driest_Q,Prec_Warmest_Q,Prec_Coldest_Q
Katha,783998,2754002,N2754002E783998,75.31230622,2015,46,266,113,48,2511,379,145,234,270,230,296,230,1378,274,1,92,764,13,190,13
Khamti,768000,2754000,N2754000E768000,71.04849152,2014,46,267,113,48,2504,380,146,234,271,231,297,231,1397,280,1,92,780,13,190,13
Khamti,760000,2780000,N2780000E760000,93.42191667,2014,46,266,113,48,2447,379,147,232,270,231,296,231,1618,343,1,97,948,13,201,13
Khamti,726000,2776000,N2776000E726000,93.99192633,2014,46,267,113,48,2478,379,147,232,270,231,297,231,1560,326,1,95,904,13,198,13
Khamti,742000,2768000,N2768000E742000,122.0827209,2014,46,264,113,48,2457,376,144,232,267,228,293,228,1493,303,1,94,848,12,198,12
Khamti,728000,2768000,N2768000E728000,192.3616038,2014,46,265,113,48,2453,378,146,232,268,230,295,230,1542,319,1,95,888,12,200,12
Khamti,740000,2768000,N2768000E740000,127.476857,2014,46,263,113,48,2441,376,143,233,265,228,293,228,1504,306,1,94,855,12,199,12
Khamti,762000,2754000,N2754000E762000,112.6044458,2014,46,265,113,48,2458,378,146,232,268,230,295,230,1454,294,1,93,822,12,193,12
Khamti,766000,2754000,N2754000E766000,86.19290731,2014,46,266,113,48,2511,379,145,234,269,230,296,230,1436,289,1,93,809,12,192,12
Khamti,666000,2742000,N2742000E666000,187.5074011,2014,46,266,113,48,2449,379,146,233,269,231,296,231,1437,290,1,94,812,12,190,12
Mandalay,219000,2429500,N2429500E219000,67.22569792,2016,47,266,114,48,2484,380,146,234,270,231,296,231,1413,283,1,93,794,12,189,12
Katha,778000,2726001,N2726001E778000,251.5183726,2015,46,267,113,48,2484,381,147,234,271,232,297,232,1435,290,1,93,812,12,190,12
Katha,782000,2726000,N2726000E782000,183.8951521,2015,46,267,113,48,2490,380,146,234,270,231,297,231,1442,291,1,93,816,12,191,12
Khamti,718000,2741999,N2741999E718000,157.7684638,2014,46,266,113,48,2493,379,145,234,269,230,296,230,1446,292,1,93,818,12,192,12
Khamti,754000,2726000,N2726000E754000,95.78281596,2014,46,266,113,48,2467,380,146,234,269,231,296,231,1467,297,1,93,834,12,194,12
