Local_names,Genus,Species,Species_Code
Kanzo,Tarrietia,javanica,430
Yew,Taxus,baccata,431
Dahat,Tectona,hamiltoniana,432
Taukkyan,Terminalia,alata,433
Thitsein,Terminalia,belerica,434
Daung-aiktan,Terminalia,bialata,435
Banda,Terminalia,catappa,436
Panga,Terminalia,chebula,437
Taukkyan-ywet-gyi,Terminalia,coriacea,438
Taukkyan-ywet-they,Terminalia,crenulata,439
Ye-taukkyan,Terminalia,myriocarpa,440
Than,Terminalia,oliveri,441
Lein,Terminalia,pyrifolia,442
Taukkyan,Terminalia,tomentosa,443
Taung-kan,Ternstroemia,japonica,444
Baing,Tetrameles,nudiflora,445
Thinbaung-shaw,Thespesis,lampas,446
Sabu-bani,Thespesia,populnea,447
Sat-sha,Trema,amboinensis,448
Set-kadon,Trewia,nudiflora,449
Taungthabye,Tristania,burmanica,450
Mya-kamaung,Tristania,merguensis,451
Taw-petsut,Turpinia,pomifera,452
Thit-kauk-hnyin,Ulmus,lancifolia,453
Kanyin-kyaung-che,Vatica,spp.,454
Tauksha,Vitex,canescens/:,455
Tauksha,Vitex,glabrata,456
Kyun-gauk-nwe,Vitex,limonifolia,457
Kyaungban-gyi,Vitex,negundo,458
Petlezin,Vitex,peduncularis,459
Kyetyo,Vitex,pubescens,460
Kyaungban,Vitex,trifolia,461
Kyetyo-po,Vitex,quinata,462
Gyobo,Walsura,robusta,463
Thit-pyu,Wendlandia,glabrata,464
Taw-saungtaw-gu,Wendlandia,grandis,465
Sagyin,Wendlandia,paniculata,466
Taung-sagyin,Wendlandia,tinctoria,467
Pattagyi,Woodfordia,fruticosa,468
Lettok-thein,Wrightia,tomentosa,469
Sagwe,Xanthophyllum,flavescens,470
Taung-kyetmauk,Xerospermum,neronhianum,471
Pinle-on,Xylocarpus,granatum,472
Kyana,Xylocarpus,moluccensis,473
Mayanin-kyetsu,Zanthoxylum,budrunga,474
Subo,Zizyphus,incurva,475
Zi,Zizyphus,mauritiana,476
Myauk-zi,Zizyphus,rugosa,477
Daungbaung,Aphania,danura,478
Moksoma,Dalbergia,obtusifolia,479
Daung-dalaung,Dalbergia,stipulacea,480
Magyipwe,Diospyros,spp.,481
Mauk,Glycosmis,pentaphylla,482
Taung-sagaing,Mischocarpus,fuscescens,483
Myauk-okshit,Mischocarpus,pentapetalus,484
Talaing-kaung,Madhuca,butyracea,485
Danyin,Pithecellobium,bigeminum,486
Kyet-tuywesa,Lagerstroemia,spp.,487
Unidentified_482,NA,NA,488
Mayanin,Pittosporum,nepaulensis,489
Thit-kaya,Milletia,tetraptera,490
Magyipway,Diospyros,pendula,491
Unidentified_492,NA,NA,492
Unidentified_493,NA,NA,493
Unidentified_494,NA,NA,494
Unidentified_495,NA,NA,495
Unidentified_496,NA,NA,496
Unidentified_497,NA,NA,497
Unidentified_498,NA,NA,498
Unidentified_499,NA,NA,499
Unidentified_500,NA,NA,500
Eucalypt,Eucalyptus,spp.,501
Bawsagaing,Leucaena,leucocephala,502
Auri sha,Acacia,auriculiformis,503
Unidentified_504,NA,NA,504
Taw-shauk,NA,NA,505
Moehnan,NA,NA,506
Lateyoe,NA,NA,507
Satha,NA,NA,508
Unidentified_509,NA,NA,509
Su-bouk,NA,NA,510
Saung,NA,NA,511
Panthaka,NA,NA,512
Unidentified_513,NA,NA,513
Nakhaung-pu,NA,NA,514
Unidentified_515,NA,NA,515
Myauk-ohn,NA,NA,516
Ye-ma-gyi,NA,NA,517
Unidentified_518,NA,NA,518
Unidentified_519,NA,NA,519
Kasi,NA,NA,520
Pan-ma-khon,NA,NA,521
Unidentified_522,NA,NA,522
Unidentified_523,NA,NA,523
Taung-pyinkado,NA,NA,524
Minbaw,NA,NA,525
Nyaung-lan,NA,NA,526
Unidentified_527,NA,NA,527
Bonlone,NA,NA,528
Unidentified_529,NA,NA,529
All Other Species,NA,NA,999
