system:index,District,Districts,EAST,NORTH,New_Carbon,Old_Carbon,Plot_names,Year,Zone,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,.geo
000000000000000012c0,Taunggoo,Taunggoo,802000.0,2115000,8.35215324004094,83.53264465,N802000E2115000,2010,46,228.0,112.0,46.0,3427.0,330.0,87.0,243.0,252.0,192.0,261.0,175.0,1376.0,242.0,2.0,82.0,651.0,15.0,459.0,22.0,"{""type"":""Point"",""coordinates"":[96.60957690734975,21.88030944994094]}"
000000000000000012c1,Taunggoo,Taunggoo,802000.0,2117000,9.87914211395162,96.3999745,N802000E2117000,2010,46,252.0,113.0,45.0,3522.0,359.0,111.0,248.0,276.0,216.0,287.0,198.0,1096.0,188.0,2.0,80.0,511.0,13.0,367.0,18.0,"{""type"":""Point"",""coordinates"":[96.6289204877196,21.880590373307307]}"
000000000000000012c2,Taunggoo,Taunggoo,802000.0,2119000,11.4736759712602,102.9916679,N802000E2119000,2010,46,240.0,114.0,45.0,3492.0,346.0,98.0,248.0,264.0,204.0,275.0,187.0,1260.0,227.0,2.0,81.0,605.0,14.0,417.0,20.0,"{""type"":""Point"",""coordinates"":[96.783637916971,21.88274411911612]}"
000000000000000012c3,Taunggoo,Taunggoo,802000.0,2121000,11.9242393672906,127.8136821,N802000E2121000,2010,46,222.0,113.0,46.0,3398.0,324.0,80.0,244.0,248.0,185.0,255.0,170.0,1465.0,267.0,2.0,82.0,712.0,16.0,487.0,22.0,"{""type"":""Point"",""coordinates"":[96.80301271104821,21.883033960684593]}"
000000000000000012c4,Taunggoo,Taunggoo,802000.0,2123000,13.5579526277797,131.074829,N802000E2123000,2010,46,234.0,113.0,45.0,3468.0,337.0,91.0,246.0,257.0,196.0,267.0,180.0,1330.0,239.0,2.0,81.0,637.0,15.0,442.0,21.0,"{""type"":""Point"",""coordinates"":[96.7640981361548,21.90052255501621]}"
000000000000000012c5,Taunggoo,Taunggoo,802000.0,2125000,4.12467543160006,48.4985262,N802000E2125000,2010,46,201.0,109.0,45.0,3320.0,298.0,61.0,237.0,220.0,167.0,232.0,149.0,1542.0,256.0,3.0,80.0,708.0,19.0,522.0,26.0,"{""type"":""Point"",""coordinates"":[96.39649876351083,21.895135960943648]}"
000000000000000012c6,Taunggoo,Taunggoo,802000.0,2127000,5.99646644472439,66.45765164,N802000E2127000,2010,46,237.0,112.0,45.0,3460.0,342.0,96.0,246.0,260.0,202.0,271.0,184.0,1249.0,217.0,2.0,82.0,582.0,13.0,419.0,19.0,"{""type"":""Point"",""coordinates"":[96.49321220625902,21.896634218897603]}"
000000000000000012c7,Taunggoo,Taunggoo,802000.0,2129000,3.77948754931138,42.28286877,N802000E2129000,2010,46,194.0,111.0,46.0,3289.0,291.0,53.0,238.0,220.0,158.0,225.0,144.0,1757.0,321.0,3.0,82.0,885.0,21.0,585.0,27.0,"{""type"":""Point"",""coordinates"":[96.82207090895066,21.901334111407937]}"
000000000000000012c8,Taunggoo,Taunggoo,802000.0,2131000,12.6678565705595,131.2436756,N802000E2131000,2010,46,201.0,110.0,46.0,3318.0,298.0,60.0,238.0,220.0,166.0,232.0,149.0,1547.0,257.0,3.0,80.0,708.0,19.0,525.0,26.0,"{""type"":""Point"",""coordinates"":[96.42534914732666,21.904616009783272]}"
000000000000000012c9,Taunggoo,Taunggoo,802000.0,2133000,10.3853693824288,112.4705582,N802000E2133000,2010,46,200.0,110.0,46.0,3303.0,296.0,58.0,238.0,219.0,165.0,230.0,148.0,1564.0,260.0,3.0,79.0,712.0,20.0,531.0,28.0,"{""type"":""Point"",""coordinates"":[96.4543645178814,21.905066378989677]}"
000000000000000012ca,Taunggoo,Taunggoo,802000.0,2135000,10.3785652732902,112.8273912,N802000E2135000,2010,46,236.0,113.0,45.0,3491.0,340.0,93.0,247.0,260.0,199.0,269.0,182.0,1295.0,230.0,2.0,81.0,616.0,14.0,432.0,20.0,"{""type"":""Point"",""coordinates"":[96.71553852568277,21.908901205895635]}"
000000000000000012cb,Taunggoo,Taunggoo,802000.0,2137000,9.3980319653388,104.558807,N802000E2137000,2010,46,199.0,111.0,46.0,3290.0,297.0,58.0,239.0,225.0,163.0,229.0,149.0,1696.0,308.0,3.0,82.0,842.0,21.0,566.0,27.0,"{""type"":""Point"",""coordinates"":[96.8025266690334,21.919099170004863]}"
000000000000000012cc,Taunggoo,Taunggoo,802000.0,2139000,9.92807641806847,108.7903727,N802000E2139000,2010,46,198.0,109.0,46.0,3306.0,294.0,58.0,236.0,217.0,164.0,228.0,146.0,1565.0,259.0,3.0,80.0,716.0,20.0,531.0,27.0,"{""type"":""Point"",""coordinates"":[96.39616879003287,21.913186402008]}"
000000000000000012cd,Taunggoo,Taunggoo,802000.0,2141000,15.6598339697552,148.413913,N802000E2141000,2010,46,195.0,109.0,45.0,3300.0,291.0,54.0,237.0,214.0,160.0,225.0,143.0,1599.0,266.0,3.0,79.0,726.0,21.0,543.0,28.0,"{""type"":""Point"",""coordinates"":[96.43486040987362,21.913792839751267]}"
000000000000000012ce,Taunggoo,Taunggoo,802000.0,2143000,13.6248798848285,144.8373357,N802000E2143000,2010,46,204.0,111.0,46.0,3313.0,302.0,63.0,239.0,228.0,169.0,235.0,153.0,1586.0,276.0,3.0,80.0,740.0,20.0,535.0,27.0,"{""type"":""Point"",""coordinates"":[96.62832296817841,21.91669571453706]}"
000000000000000012cf,Taunggoo,Taunggoo,802000.0,2145000,14.2582481540902,139.6267482,N802000E2145000,2010,46,233.0,114.0,46.0,3465.0,336.0,89.0,247.0,257.0,195.0,266.0,180.0,1338.0,241.0,2.0,81.0,641.0,15.0,446.0,21.0,"{""type"":""Point"",""coordinates"":[96.78279960597297,21.936886524107056]}"
000000000000000012d0,Taunggoo,Taunggoo,802000.0,2147000,18.5483670635988,172.3944866,N802000E2147000,2010,46,232.0,110.0,45.0,3483.0,335.0,92.0,243.0,249.0,197.0,265.0,178.0,1312.0,243.0,2.0,84.0,628.0,11.0,439.0,18.0,"{""type"":""Point"",""coordinates"":[96.27976841613372,21.929355102427788]}"
000000000000000012d1,Taunggoo,Taunggoo,802000.0,2149000,11.008450491685,107.1506396,N802000E2149000,2010,46,237.0,111.0,45.0,3518.0,341.0,96.0,245.0,254.0,202.0,270.0,182.0,1242.0,228.0,2.0,84.0,591.0,11.0,417.0,18.0,"{""type"":""Point"",""coordinates"":[96.30878824578954,21.92983222624051]}"
000000000000000012d2,Taunggoo,Taunggoo,802000.0,2151000,10.9517779528402,105.1677569,N802000E2151000,2010,46,204.0,110.0,46.0,3340.0,301.0,63.0,238.0,223.0,169.0,235.0,152.0,1523.0,254.0,3.0,80.0,700.0,19.0,517.0,26.0,"{""type"":""Point"",""coordinates"":[96.39584327565598,21.931236843072345]}"
000000000000000012df,Taunggoo,Taunggoo,804000.0,2079000,28.6718602067662,246.2521361,N804000E2079000,2010,46,227.0,111.0,45.0,3473.0,329.0,86.0,243.0,244.0,192.0,261.0,173.0,1371.0,249.0,2.0,84.0,651.0,13.0,459.0,20.0,"{""type"":""Point"",""coordinates"":[96.33713029208525,21.966405773080872]}"
000000000000000012e0,Taunggoo,Taunggoo,804000.0,2081000,13.6563858793464,132.9410825,N804000E2081000,2010,46,221.0,110.0,45.0,3461.0,322.0,80.0,242.0,239.0,186.0,254.0,167.0,1406.0,253.0,2.0,83.0,666.0,13.0,473.0,21.0,"{""type"":""Point"",""coordinates"":[96.2787383637904,21.983501966519782]}"
000000000000000012e1,Taunggoo,Taunggoo,804000.0,2083000,9.98846661813681,111.6885194,N804000E2083000,2010,46,210.0,110.0,45.0,3439.0,310.0,69.0,241.0,229.0,175.0,242.0,157.0,1475.0,255.0,2.0,82.0,689.0,15.0,499.0,23.0,"{""type"":""Point"",""coordinates"":[96.29809086236232,21.983818562694573]}"
000000000000000012e2,Taunggoo,Taunggoo,804000.0,2085000,2.52151016571474,29.5473665,N804000E2085000,2010,46,206.0,110.0,46.0,3390.0,303.0,64.0,239.0,225.0,170.0,237.0,153.0,1508.0,253.0,3.0,80.0,694.0,18.0,513.0,26.0,"{""type"":""Point"",""coordinates"":[96.39485335522211,21.98538816626539]}"
000000000000000012e3,Taunggoo,Taunggoo,804000.0,2087000,10.8552893082833,106.2612117,N804000E2087000,2010,46,205.0,110.0,45.0,3366.0,303.0,63.0,240.0,224.0,169.0,236.0,152.0,1515.0,253.0,3.0,80.0,695.0,19.0,517.0,26.0,"{""type"":""Point"",""coordinates"":[96.41421031289511,21.98569138513702]}"
000000000000000012e4,Taunggoo,Taunggoo,804000.0,2091000,1.10499220289276,15.41554317,N804000E2091000,2010,46,245.0,114.0,45.0,3534.0,351.0,102.0,249.0,270.0,208.0,280.0,191.0,1198.0,214.0,2.0,80.0,570.0,14.0,399.0,19.0,"{""type"":""Point"",""coordinates"":[96.77232517759842,21.990993256289574]}"
000000000000000012e5,Taunggoo,Taunggoo,804000.0,2097000,29.8747464935254,268.7838486,N804000E2097000,2010,46,235.0,111.0,45.0,3536.0,339.0,95.0,244.0,253.0,200.0,270.0,181.0,1254.0,230.0,2.0,84.0,598.0,11.0,422.0,17.0,"{""type"":""Point"",""coordinates"":[96.27839501300926,22.00154794848308]}"
000000000000000012e6,Taunggoo,Taunggoo,804000.0,2099000,1.32443462931141,15.1671314,N804000E2099000,2010,46,214.0,110.0,46.0,3422.0,313.0,74.0,239.0,232.0,179.0,247.0,161.0,1452.0,254.0,2.0,82.0,680.0,15.0,491.0,22.0,"{""type"":""Point"",""coordinates"":[96.29774751158122,22.00186900375893]}"
000000000000000012e7,Taunggoo,Taunggoo,804000.0,2101000,9.03653630040736,86.72112469,N804000E2101000,2010,46,202.0,110.0,46.0,3367.0,298.0,59.0,239.0,221.0,166.0,232.0,149.0,1528.0,253.0,3.0,79.0,699.0,20.0,523.0,27.0,"{""type"":""Point"",""coordinates"":[96.41388033941719,22.003741826201377]}"
000000000000000012e8,Taunggoo,Taunggoo,804000.0,2103000,1.47005952056574,18.41642741,N804000E2103000,2010,46,195.0,110.0,46.0,3341.0,290.0,52.0,238.0,215.0,159.0,225.0,143.0,1567.0,254.0,3.0,78.0,709.0,22.0,539.0,29.0,"{""type"":""Point"",""coordinates"":[96.4719512124362,22.00465148281628]}"
